clusterName,onTarget
e1_e299_SLC17A7_L5b_Cdh13,0.7926141
g1_g48_GLI3_Astro_Gja1,1.0
g2_g27_APBB1IP_Micro_Ctss,1.0
g3_g18_GPNMB_OPC_Pdgfra,1.0
g4_g9_MOG_Oligo_Opalin,1.0
i10_i16_TSPAN12_Vip_Mybpc1,0.783762
i11_i6_EGF_Vip_Mybpc1,1.0
i1_i90_COL5A2_Ndnf_Car4,0.6189059
i2_i77_LHX6_Sst_Cbln4,0.94205827
i3_i56_BAGE2_Ndnf_Cxcl14,0.53121114
i4_i54_MC4R_Ndnf_Cxcl14,0.35176563
i5_i47_TRPC3_Ndnf_Car4,0.4484825
i6_i44_GPR149_Vip_Mybpc1,0.77330136
i7_i31_CLMP_Ndnf_Cxcl14,0.6293888
i8_i27_SNCG_Vip_Mybpc1,1.0
i9_i22_TAC3_Vip_Mybpc1,0.7528417
